-- funds
IE00B03HCZ61,World,Vanguard Global Stock Index Fund Investor EUR Accumulation,The Vanguard Group Inc.
LU0996182563,World,Amundi Index Solutions - Amundi Index MSCI World AE-C,Amundi
LU0836512615,World,Shares World Equity Index Fund (LU) N7 EUR,BlackRock Inc.
IE0007472990,Europe,Vanguard Euro Government Bond Index Fund EUR Acc,The Vanguard Group Inc.
IE00B4XCK338,Europe,iShares Ultra High Quality Euro Government Bond Index,Blacrock Inc.
